parameter,label,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
chl,avg,11.72,7.24,12.45,8.65,3.38,3.79,5.27,6.87,7.83,7.12,5.75,9.63
chl,median,12.41,5.9,7.93,4.26,2.54,3.31,4.42,5.65,5.58,6.06,4.33,6.93
chl,sd,6.001,5.696,14.761,10.516,3.009,2.643,3.888,5.322,7.118,4.101,4.654,9.473
chl,count,2231,2016,2221,2159,2166,2175,2503,2942,2802,2975,2430,2964
do,avg,11.85,12.07,11.78,11.36,10.47,9.43,8.97,8.7,8.21,8.33,9.28,10.69
do,median,11.79,12.11,11.83,11.34,10.5,9.45,8.98,8.73,8.19,8.35,9.3,10.66
do,sd,0.637,0.678,0.634,0.697,0.654,0.737,0.78,0.871,0.836,0.624,0.603,0.726
do,count,2231,1803,2214,2160,2070,2175,2504,2947,2879,2975,2431,2964
omega_a,avg,0.8,1.08,1.07,0.78,0.9,1.31,1.56,1.68,1.47,1.38,0.98,1.01
omega_a,median,0.77,0.95,1.05,0.73,0.93,1.2,1.53,1.58,1.43,1.33,0.98,1
omega_a,sd,0.125,0.329,0.301,0.273,0.311,0.432,0.418,0.571,0.307,0.281,0.21,0.175
omega_a,count,835,1349,1734,784,1878,1662,1607,1383,1671,2240,2103,2219
pco2,avg,259.06,280.98,295.27,367.3,388.87,419.36,526.92,510.86,536.11,504.17,443.22,350.2
pco2,median,243.69,276.88,318.74,377.97,379.81,415.78,519.83,489.22,526.72,503.48,455.77,343.9
pco2,sd,48.09,40.591,86.212,66.99,65.465,55.816,114.771,99.523,80.479,101.772,80.404,71.731
pco2,count,835,1349,1734,784,1878,1662,1607,1383,1672,2240,2103,2219
pco2_corr,avg,413.32,441.52,439.51,479.7,422.72,400.04,427.7,394.84,443.27,480.93,514.51,489.59
pco2_corr,median,409.79,434.3,454.31,493.13,408.93,396.68,419.01,376.89,435.25,492.35,509.64,474.45
pco2_corr,sd,52.307,71.437,130.699,84.089,80.283,60.5,98.633,85.687,72.546,90.863,97.276,90.844
pco2_corr,count,835,1349,1734,784,1878,1662,1607,1383,1672,2240,2103,2219
pctsat,avg,103.41,105.61,106.39,109.72,110.57,108.04,111.68,110.12,100.85,96,95.94,100.03
pctsat,median,102.9,104.8,105.06,109.5,110.3,107.9,111.4,110.58,100.9,95.5,95.6,99.8
pctsat,sd,4.308,5.503,6.363,7.572,6.448,8.713,10.924,11.342,10.235,7.321,4.951,5.155
pctsat,count,2231,1803,2214,2160,2070,2175,2504,2947,2879,2975,2431,2964
ph,avg,8.13,8.15,8.18,8.11,8.02,8.04,8.02,8.03,8.01,8.03,8.02,8.1
ph,median,8.14,8.15,8.21,8.14,8.04,8.04,8.03,8.04,8.01,8.03,8.02,8.1
ph,sd,0.048,0.064,0.107,0.127,0.083,0.07,0.076,0.08,0.061,0.06,0.062,0.05
ph,count,2231,1803,2211,2160,2166,2176,2503,2859,2879,2975,2431,2964
ph_tot,avg,8.04,8.06,8.08,8,7.9,7.92,7.89,7.91,7.89,7.91,7.91,7.99
ph_tot,median,8.04,8.05,8.11,8.03,7.93,7.92,7.9,7.91,7.89,7.91,7.91,8
ph_tot,sd,0.048,0.064,0.107,0.128,0.083,0.07,0.075,0.079,0.06,0.06,0.063,0.051
ph_tot,count,2231,1803,2210,2160,2166,2176,2503,2859,2878,2975,2431,2964
salinity,avg,30.59,30.62,30.28,29.14,29.03,29.3,30.23,30.47,30.57,30.7,30.25,30.42
salinity,median,30.51,30.7,30.3,29.43,29.22,29.24,30.23,30.69,31.03,31.03,30.09,30.51
salinity,sd,1.087,0.744,0.593,1.474,0.82,0.665,0.795,0.773,1.033,0.997,0.86,0.817
salinity,count,2231,1803,2214,2160,2166,2176,2504,2949,2879,2975,2431,2964
temperature,avg,1.38,1.33,2.6,5.83,9.84,13.42,17.1,17.94,16.55,13.34,8.17,4.08
temperature,median,1.3,1.1,2.74,5.56,9.83,13.37,17.03,17.91,16.45,13.55,7.96,3.94
temperature,sd,1.466,1.236,1.183,1.499,1.504,1.543,1.56,1.35,1.297,1.552,2.078,1.553
temperature,count,2231,1803,2214,2160,2166,2176,2504,2949,2879,2975,2894,2975
